frame.number	frame.time_relative	ip.src	ip.dst	frame.protocols	frame.len
106	8.633869927	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
107	9.103416251	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
108	9.202651521			eth:ethertype:ipv6:icmpv6	86
109	9.202782395			eth:ethertype:ipv6:icmpv6	78
110	9.226631395			eth:ethertype:data	118
111	9.290670475			eth:ethertype:ipv6:udp:ntp	110
112	9.290965390			eth:ethertype:ipv6:udp:dns	94
113	9.291056390			eth:ethertype:ipv6:udp:dns	94
114	9.336096528			eth:ethertype:ipv6:udp:dns	158
115	9.336102569			eth:ethertype:ipv6:udp:dns	150
116	9.336849107			eth:ethertype:ipv6:udp:ntp	110
117	9.355389593			eth:ethertype:ipv6:udp:ntp	110
118	9.361972309			eth:llc:stp	60
119	9.464831226			eth:ethertype:ipv6:udp:ntp	110
120	9.790482765			eth:ethertype:arp	60
121	9.790548181			eth:ethertype:arp	42
122	10.226644847			eth:ethertype:data	118
123	10.307469131			eth:ethertype:ipv6:udp:ntp	110
124	10.307618422			eth:ethertype:ipv6:udp:ntp	110
125	10.307799421			eth:ethertype:ipv6:udp:ntp	110
126	10.360201146			eth:ethertype:ipv6:udp:ntp	110
127	10.362014928			eth:llc:stp	60
128	10.427405334			eth:ethertype:ipv6:udp:ntp	110
129	10.441135804			eth:ethertype:ipv6:udp:ntp	110
130	11.226637092			eth:ethertype:data	118
131	11.362016047			eth:llc:stp	60
132	11.590956011	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
133	11.635021654	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
134	12.105093517	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
135	12.226705294			eth:ethertype:data	118
136	12.308443948			eth:ethertype:ipv6:udp:ntp	110
137	12.325866398			eth:ethertype:ipv6:udp:ntp	110
138	12.362114124			eth:llc:stp	60
139	12.370110207			eth:ethertype:ipv6:udp:ntp	110
140	12.415621426			eth:ethertype:ipv6:udp:ntp	110
141	12.563375983			eth:ethertype:ipv6:icmpv6	86
142	12.567357754			eth:ethertype:ipv6:icmpv6	78
143	12.691889099			eth:ethertype:arp	60
144	12.691893224			eth:ethertype:arp	60
145	12.691895558			eth:ethertype:arp	60
146	12.691897391			eth:ethertype:arp	60
147	12.694386378			eth:ethertype:arp	60
148	12.694389378			eth:ethertype:arp	60
149	12.694391211			eth:ethertype:arp	60
150	12.694396045			eth:ethertype:arp	60
151	12.694397795			eth:ethertype:arp	60
152	12.696455742			eth:ethertype:arp	60
153	12.696458367			eth:ethertype:arp	60
154	12.696461159			eth:ethertype:arp	60
155	12.696463492			eth:ethertype:arp	60
156	12.696465700			eth:ethertype:arp	60
157	12.696467742			eth:ethertype:arp	60
158	12.696469742			eth:ethertype:arp	60
159	12.697426737			eth:ethertype:arp	60
160	12.699677267			eth:ethertype:arp	60
161	12.699679934			eth:ethertype:arp	60
162	12.699681767			eth:ethertype:arp	60
163	12.699683433			eth:ethertype:arp	60
164	12.699685142			eth:ethertype:arp	60
165	12.699686892			eth:ethertype:arp	60
166	12.699689225			eth:ethertype:arp	60
167	12.700676678			eth:ethertype:arp	60
168	12.700679137			eth:ethertype:arp	60
169	12.700680928			eth:ethertype:arp	60
170	12.702709793			eth:ethertype:arp	60
171	12.702712959			eth:ethertype:arp	60
172	12.702715418			eth:ethertype:arp	60
173	12.702717376			eth:ethertype:arp	60
174	12.702720209			eth:ethertype:arp	60
175	12.702723209			eth:ethertype:arp	60
176	12.702791417			eth:ethertype:arp	42
177	12.702725501			eth:ethertype:arp	60
178	12.703700662			eth:ethertype:arp	60
179	12.703703412			eth:ethertype:arp	60
180	12.706232566			eth:ethertype:arp	60
181	12.706235274			eth:ethertype:arp	60
182	12.706237441			eth:ethertype:arp	60
183	12.706239399			eth:ethertype:arp	60
184	12.706242066			eth:ethertype:arp	60
185	13.226660956			eth:ethertype:data	118
186	13.308741024			eth:ethertype:ipv6:udp:ntp	110
187	13.362097494			eth:llc:stp	60
188	13.439055506			eth:ethertype:ipv6:udp:ntp	110
